Type of Private Accommodation,County,Region,Subregion,2016,2017,2018,2019,2020,2021
All households,Mayo,Northern & Western,West,65921,66744,67599,68558,69360,69414
All households,Carlow,Southern,South East,23274,23645,24001,24516,24805,24844
All households,Cavan,Northern & Western,Border,33585,33872,34184,34541,34905,34933
All households,Clare,Southern,Mid West,55779,56342,57143,58045,58825,58915
All households,Cork,Southern,South West,229495,59025,62759,67541,70915,71297
All households,Donegal,Northern & Western,Border,83931,84728,85516,86466,87391,87478
All households,Dublin,Eastern & Midland,Dublin,530753,594105,603192,618599,630310,631766
All households,Galway,Northern & Western,West,112054,35312,37123,39270,41140,41333
All households,Kerry,Southern,South West,74094,74863,75857,76804,77653,77753
All households,Kildare,Eastern & Midland,Mid East,80158,82048,84315,87295,89393,89575
All households,Kilkenny,Southern,South East,39226,39731,40448,41170,41893,41929
All households,Laois,Eastern & Midland,Midland,32794,33233,33830,34480,35079,35129
All households,Leitrim,Northern & Western,Border,18051,18138,18189,18271,18402,18417
All households,Limerick,Southern,Mid West,82112,82931,83959,84914,85900,86016
All households,Longford,Eastern & Midland,Midland,18591,18737,18924,19184,19384,19412
All households,Louth,Eastern & Midland,Mid East,51399,52417,53769,54986,56096,56284
All households,Meath,Eastern & Midland,Mid East,70649,73039,75696,78440,80005,80319
All households,Monaghan,Northern & Western,Border,25311,25711,26304,26811,27379,27400
All households,Offaly,Eastern & Midland,Midland,30740,31031,31412,31934,32481,32496
All households,Roscommon,Northern & Western,West,31285,31579,31880,32316,32635,32659
All households,Sligo,Northern & Western,Border,32764,33047,33387,33629,33942,33948
All households,State,State,State,2003645,2031952,2065878,2103364,2134700,2137109
All households,Tipperary,Southern,Mid West,69106,69571,70228,70832,71375,71416
All households,Waterford,Southern,South East,52491,53015,53722,54747,55459,55491
All households,Westmeath,Eastern & Midland,Midland,36890,37281,37886,38470,38912,38950
All households,Wexford,Southern,South East,68206,69193,70365,71562,72688,72776
All households,Wicklow,Eastern & Midland,Mid East,54986,55876,57452,57117,58263,58270
