Housing_or_CommNotices,Subregion,2016,2017,2018,2019,2020,2021
All households,Border,193642,195496,197580,199718,202019,202176
All households,Dublin,530753,594105,603192,618599,630310,631766
All households,Mid East,257192,263380,271232,277838,283757,284448
All households,Mid West,206997,208844,211330,213791,216100,216347
All households,Midland,119015,120282,122052,124068,125856,125987
All households,South East,183197,185584,188536,191995,194845,195040
All households,South West,303589,133888,138616,144345,148568,149050
All households,West,209260,133635,136602,140144,143135,143406
Commencement Notices,Border,1587,1854,2084,2138,2301,157
Commencement Notices,Dublin,6490,8148,9087,9959,8955,235
Commencement Notices,Mid East,4428,6188,7852,8182,5919,691
Commencement Notices,Mid West,1619,1847,2486,2461,2309,247
Commencement Notices,Midland,1023,1267,1770,2016,1788,131
Commencement Notices,South East,1768,2387,2952,3459,2850,195
Commencement Notices,South West,3353,4034,4728,5729,4223,482
Commencement Notices,West,1822,2582,2967,3542,2991,271
