County,Region,Subregion,Retailer,Stores
Carlow,Southern,South East,Aldi,4
Cavan,Northern & Western,Border,Aldi,1
Clare,Southern,Mid West,Aldi,4
Cork,Southern,South West,Aldi,28
Donegal,Northern & Western,Border,Aldi,6
Dublin,Eastern & Midland,Dublin,Aldi,25
Galway,Northern & Western,West,Aldi,9
Kerry,Southern,South West,Aldi,7
Kildare,Eastern & Midland,Mid East,Aldi,8
Kilkenny,Southern,South East,Aldi,5
Laois,Eastern & Midland,Midland,Aldi,2
Leitrim,Northern & Western,Border,Aldi,1
Limerick,Southern,Mid West,Aldi,3
Longford,Eastern & Midland,Midland,Aldi,1
Louth,Eastern & Midland,Mid East,Aldi,4
Mayo,Northern & Western,West,Aldi,4
Meath,Eastern & Midland,Mid East,Aldi,7
Monaghan,Northern & Western,Border,Aldi,1
Offaly,Eastern & Midland,Midland,Aldi,1
Roscommon,Northern & Western,West,Aldi,1
Sligo,Northern & Western,Border,Aldi,1
Tipperary,Southern,Mid West,Aldi,8
Waterford,Southern,South East,Aldi,5
Westmeath,Eastern & Midland,Midland,Aldi,4
Wexford,Southern,South East,Aldi,7
Wicklow,Eastern & Midland,Mid East,Aldi,4
Carlow,Southern,South East,Lidl,2
Cavan,Northern & Western,Border,Lidl,3
Clare,Southern,Mid West,Lidl,4
Cork,Southern,South West,Lidl,17
Donegal,Northern & Western,Border,Lidl,9
Dublin,Eastern & Midland,Dublin,Lidl,71
Galway,Northern & Western,West,Lidl,7
Kerry,Southern,South West,Lidl,8
Kildare,Eastern & Midland,Mid East,Lidl,7
Kilkenny,Southern,South East,Lidl,2
Laois,Eastern & Midland,Midland,Lidl,3
Leitrim,Northern & Western,Border,Lidl,1
Limerick,Southern,Mid West,Lidl,3
Longford,Eastern & Midland,Midland,Lidl,1
Louth,Eastern & Midland,Mid East,Lidl,
Mayo,Northern & Western,West,Lidl,4
Meath,Eastern & Midland,Mid East,Lidl,2
Monaghan,Northern & Western,Border,Lidl,1
Offaly,Eastern & Midland,Midland,Lidl,3
Roscommon,Northern & Western,West,Lidl,1
Sligo,Northern & Western,Border,Lidl,2
Tipperary,Southern,Mid West,Lidl,8
Waterford,Southern,South East,Lidl,4
Westmeath,Eastern & Midland,Midland,Lidl,
Wexford,Southern,South East,Lidl,3
Wicklow,Eastern & Midland,Mid East,Lidl,3
